worker_id,condition,q_index,q_id,model_pred,actual_price,model_conf,final_pred,user_final_price_conf,step2_time,step3_time,hit_start_time,hit_end_time
d86e9facec84b39b8605f59b994292c6,C0,0,7,1.7,1.7,2,1.5,2,12135,17865,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,1,0,1,0.9,4,1.2,3,19935,10346,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,2,8,1.3,1.6,3,1.1,2,10889,6505,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,3,5,0.6,0.8,2,0.8,3,15826,11503,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,4,9,0.6,0.5,2,0.5,3,11470,9178,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,5,12,1.1,-1,2,0.7,3,40469,32172,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,6,11,0.9,1.2,3,1,3,5204,5604,1536640747,1536641152
d86e9facec84b39b8605f59b994292c6,C0,7,10,1.5,-1,3,1.4,2,12578,8549,1536640747,1536641152
5de9b119f5ffef71ad8e82652e1993a6,C2,0,8,1.3,1.6,3,1.4,2,14827,11072,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,1,7,1.7,1.7,4,1.9,3,13837,8035,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,2,0,1,0.9,3,0.9,2,9843,5717,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,3,5,0.6,0.8,4,0.5,2,13698,9467,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,4,9,0.6,0.5,3,0.6,2,11889,7051,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,5,10,1.5,-1,2,1.2,2,20007,7313,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,6,11,0.9,1.2,3,1,2,11894,5086,1536644130,1536644456
5de9b119f5ffef71ad8e82652e1993a6,C2,7,12,1.1,-1,2,0.7,2,10587,7889,1536644130,1536644456
22c26404e5483a3a38a0e316067413ae,C2,0,0,1,0.9,2,1.3,3,5496,8045,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,1,9,0.6,0.5,2,0.8,3,4370,6154,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,2,7,1.7,1.7,2,2,3,6770,4043,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,3,5,0.6,0.8,2,0.8,3,2233,4192,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,4,8,1.3,1.6,2,1,3,5658,3851,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,5,12,1.1,-1,1,0.4,3,12992,4110,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,6,11,0.9,1.2,2,0.8,3,7601,7579,1536644451,1536644636
22c26404e5483a3a38a0e316067413ae,C2,7,10,1.5,-1,3,1.2,3,4571,3228,1536644451,1536644636
7969da73e0f9fb2b6cb0ef38816c1151,C1,0,5,0.6,0.8,1,0.5,4,8691,14932,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,1,9,0.6,0.5,4,0.6,4,14992,7337,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,2,7,1.7,1.7,2,1.6,4,12901,8571,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,3,0,1,0.9,4,0.8,2,6035,9108,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,4,8,1.3,1.6,4,1.3,4,6642,5395,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,5,12,1.1,-1,3,1,4,9039,5308,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,6,11,0.9,1.2,2,0.7,4,7300,8359,1536644496,1536644749
7969da73e0f9fb2b6cb0ef38816c1151,C1,7,10,1.5,-1,2,1,3,8942,9317,1536644496,1536644749
521f59eac823881239e6584309fed315,C2,0,7,1.7,1.7,5,1.8,5,7937,6099,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,1,0,1,0.9,2,0.8,4,11854,3545,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,2,9,0.6,0.5,5,0.6,5,11669,4215,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,3,8,1.3,1.6,4,1.6,5,6631,5231,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,4,5,0.6,0.8,2,0.7,5,5676,3939,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,5,12,1.1,-1,1,0.5,5,12736,9116,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,6,11,0.9,1.2,5,0.9,5,17417,2873,1536644372,1536644609
521f59eac823881239e6584309fed315,C2,7,10,1.5,-1,2,1,4,17724,4965,1536644372,1536644609
19980f70d758be0aa40566f55132fa76,C2,0,8,1.3,1.6,3,1.1,5,14186,12466,1536644956,1536646378
19980f70d758be0aa40566f55132fa76,C2,1,7,1.7,1.7,3,1.5,4,7465,10583,1536644956,1536646378
